type size particles iterations skipped time num_process
s 600 36000 10000 31794 9.196446 1
s 600 36000 10000 32267 9.290986 1
s 600 36000 10000 32064 9.265758 1
s 600 36000 10000 31872 9.241162 1
s 600 36000 100000 5661 29.29075 1
s 600 36000 100000 5124 27.53349 1
s 600 36000 100000 5271 28.16838 1
s 600 36000 100000 5381 28.32021 1
s 600 54000 1000 53387 1.491581 1
s 600 54000 1000 53410 1.496087 1
s 600 54000 1000 53496 1.49841 1
s 600 54000 1000 53401 1.495961 1
s 600 54000 10000 44311 13.0097 1
s 600 54000 10000 45264 13.22151 1
s 600 54000 10000 45204 13.2517 1
s 600 54000 10000 44810 13.21034 1
s 600 54000 100000 5661 29.91054 1
s 600 54000 100000 5124 28.09212 1
s 600 54000 100000 5271 28.62307 1
s 600 54000 100000 5381 28.98329 1
c 200 16 1000 1907 0.00226 128
c 200 8 1000 1927 0.003866 256
c 200 4 1000 1927 0.003013 512
c 200 2 1000 1928 0.005407 1024
c 200 16 1000 1918 0.00383 128
c 200 8 1000 1917 0.003919 256
c 200 4 1000 1912 0.003001 512
c 200 2 1000 1917 0.005377 1024
c 200 16 1000 1844 0.003827 128
c 200 8 1000 1844 0.002323 256
c 200 4 1000 1847 0.004517 512
c 200 2 1000 1849 0.005294 1024
c 200 16 1000 1951 0.003816 128
c 200 8 1000 1951 0.003891 256
c 200 4 1000 1951 0.004577 512
c 200 2 1000 1951 0.006964 1024
c 200 16 10000 275 0.021472 128
c 200 8 10000 220 0.021137 256
c 200 4 10000 277 0.020694 512
c 200 2 10000 306 0.034143 1024
c 200 16 10000 324 0.020094 128
c 200 8 10000 368 0.015255 256
c 200 4 10000 259 0.022518 512
c 200 2 10000 338 0.026571 1024
c 200 16 10000 222 0.015761 128
c 200 8 10000 273 0.018154 256
c 200 4 10000 212 0.015776 512
c 200 2 10000 245 0.024806 1024
c 200 16 10000 325 0.017934 128
c 200 8 10000 391 0.01902 256
c 200 4 10000 285 0.018667 512
c 200 2 10000 424 0.031678 1024
c 200 16 100000 0 0.030005 128
c 200 8 100000 0 0.035695 256
c 200 4 100000 0 0.030405 512
c 200 2 100000 0 0.055653 1024
c 200 16 100000 0 0.032961 128
c 200 8 100000 0 0.034251 256
c 200 4 100000 0 0.043276 512
c 200 2 100000 0 0.043186 1024
c 200 16 100000 0 0.026998 128
c 200 8 100000 0 0.023238 256
c 200 4 100000 0 0.028392 512
c 200 2 100000 0 0.044139 1024
c 200 16 100000 0 0.036915 128
c 200 8 100000 0 0.043914 256
c 200 4 100000 0 0.038575 512
c 200 2 100000 0 0.043403 1024
c 200 32 1000 3219 0.003553 128
c 200 16 1000 3161 0.003549 256
c 200 8 1000 3336 0.003996 512
c 200 4 1000 3280 0.005968 1024
c 200 32 1000 3436 0.003791 128
c 200 16 1000 3416 0.00356 256
c 200 8 1000 3247 0.004023 512
c 200 4 1000 3405 0.006118 1024
c 200 32 1000 3345 0.003522 128
c 200 16 1000 3243 0.003584 256
c 200 8 1000 3416 0.004084 512
c 200 4 1000 3346 0.006015 1024
c 200 32 1000 3402 0.003394 128
c 200 16 1000 3401 0.003419 256
c 200 8 1000 3373 0.003919 512
c 200 4 1000 3389 0.006198 1024
c 200 32 10000 0 0.009389 128
c 200 16 10000 0 0.008524 256
c 200 8 10000 0 0.012488 512
c 200 4 10000 0 0.01479 1024
c 200 32 10000 0 0.007719 128
c 200 16 10000 0 0.009596 256
c 200 8 10000 0 0.00988 512
c 200 4 10000 0 0.01612 1024
c 200 32 10000 0 0.007799 128
c 200 16 10000 0 0.011206 256
c 200 8 10000 0 0.012658 512
c 200 4 10000 0 0.014459 1024
c 200 32 10000 0 0.008385 128
c 200 16 10000 0 0.009901 256
c 200 8 10000 0 0.012585 512
c 200 4 10000 0 0.013347 1024
c 200 32 100000 0 0.011244 128
c 200 16 100000 0 0.009762 256
c 200 8 100000 0 0.010164 512
c 200 4 100000 0 0.015029 1024
c 200 32 100000 0 0.012656 128
c 200 16 100000 0 0.011646 256
c 200 8 100000 0 0.013366 512
c 200 4 100000 0 0.012565 1024
c 200 32 100000 0 0.012394 128
c 200 16 100000 0 0.010384 256
c 200 8 100000 0 0.011117 512
c 200 4 100000 0 0.014091 1024
c 200 32 100000 0 0.01151 128
c 200 16 100000 0 0.010896 256
c 200 8 100000 0 0.012419 512
c 200 4 100000 0 0.014242 1024
c 200 47 1000 979 0.004041 128
c 200 24 1000 1323 0.004536 256
c 200 12 1000 1386 0.004266 512
c 200 6 1000 1611 0.00598 1024
c 200 47 1000 964 0.004456 128
c 200 24 1000 887 0.004204 256
c 200 12 1000 1068 0.004295 512
c 200 6 1000 624 0.005604 1024
c 200 47 1000 2091 0.004156 128
c 200 24 1000 1038 0.004183 256
c 200 12 1000 1597 0.004306 512
c 200 6 1000 1683 0.005918 1024
c 200 47 1000 1538 0.004093 128
c 200 24 1000 2005 0.004339 256
c 200 12 1000 1113 0.004426 512
c 200 6 1000 1173 0.005929 1024
c 200 47 10000 0 0.00403 128
c 200 24 10000 0 0.003994 256
c 200 12 10000 0 0.004555 512
c 200 6 10000 0 0.005809 1024
c 200 47 10000 0 0.004711 128
c 200 24 10000 0 0.004406 256
c 200 12 10000 0 0.005203 512
c 200 6 10000 0 0.005779 1024
c 200 47 10000 0 0.004346 128
c 200 24 10000 0 0.00423 256
c 200 12 10000 0 0.004298 512
c 200 6 10000 0 0.006361 1024
c 200 47 10000 0 0.004616 128
c 200 24 10000 0 0.003944 256
c 200 12 10000 0 0.003944 512
c 200 6 10000 0 0.007979 1024
c 200 47 100000 0 0.004257 128
c 200 24 100000 0 0.004474 256
c 200 12 100000 0 0.004604 512
c 200 6 100000 0 0.006276 1024
c 200 47 100000 0 0.004253 128
c 200 24 100000 0 0.004703 256
c 200 12 100000 0 0.00414 512
c 200 6 100000 0 0.005478 1024
c 200 47 100000 0 0.004632 128
c 200 24 100000 0 0.004876 256
c 200 12 100000 0 0.004333 512
c 200 6 100000 0 0.006637 1024
c 200 47 100000 0 0.004465 128
c 200 24 100000 0 0.003769 256
c 200 12 100000 0 0.004061 512
c 200 6 100000 0 0.006252 1024
c 400 63 1000 7972 0.003976 128
c 400 32 1000 8085 0.003874 256
c 400 16 1000 8081 0.003867 512
c 400 8 1000 8086 0.006233 1024
c 400 63 1000 7932 0.003939 128
c 400 32 1000 8061 0.00389 256
c 400 16 1000 8060 0.003897 512
c 400 8 1000 8056 0.006241 1024
c 400 63 1000 7905 0.00569 128
c 400 32 1000 8033 0.005736 256
