type size particles iterations skipped time
c 375 55 1000 6922 0.003503
c 375 28 1000 7057 0.003298
c 375 14 1000 7049 0.003857
c 375 7 1000 7054 0.006516
c 375 55 1000 6929 0.003296
c 375 28 1000 7049 0.003436
c 375 14 1000 7027 0.003198
c 375 7 1000 7028 0.005804
c 375 55 1000 6920 0.005021
c 375 28 1000 7047 0.005159
c 375 14 1000 7042 0.003956
c 375 7 1000 7042 0.00593
c 375 55 1000 6900 0.004804
c 375 28 1000 7009 0.003585
c 375 14 1000 7006 0.003237
c 375 7 1000 7015 0.007096
c 375 55 10000 5125 0.031469
c 375 28 10000 5299 0.032343
c 375 14 10000 5063 0.033017
c 375 7 10000 5029 0.052618
c 375 55 10000 5312 0.032522
c 375 28 10000 5424 0.032776
c 375 14 10000 5472 0.020882
c 375 7 10000 5384 0.052057
c 375 55 10000 5095 0.032248
c 375 28 10000 5110 0.033525
c 375 14 10000 5188 0.020711
c 375 7 10000 5263 0.051112
c 375 55 10000 5193 0.039509
c 375 28 10000 4887 0.029821
c 375 14 10000 5293 0.034026
c 375 7 10000 5175 0.051482
c 375 55 100000 0 0.105334
c 375 28 100000 0 0.129606
c 375 14 100000 0 0.131282
c 375 7 100000 0 0.134992
c 375 55 100000 0 0.128995
c 375 28 100000 0 0.103333
c 375 14 100000 0 0.125624
c 375 7 100000 1 0.187685
c 375 55 100000 1 0.146783
c 375 28 100000 0 0.114858
c 375 14 100000 0 0.127775
c 375 7 100000 0 0.151352
c 375 55 100000 1 0.131031
c 375 28 100000 0 0.117856
c 375 14 100000 0 0.12517
c 375 7 100000 1 0.168481
c 375 110 1000 13477 0.00706
c 375 55 1000 13509 0.007323
c 375 28 1000 13823 0.008173
c 375 14 1000 13750 0.0076
c 375 110 1000 13414 0.007097
c 375 55 1000 13447 0.007717
c 375 28 1000 13476 0.008222
c 375 14 1000 13597 0.007384
c 375 110 1000 13211 0.007512
c 375 55 1000 13292 0.007435
c 375 28 1000 13536 0.008384
c 375 14 1000 13467 0.007451
c 375 110 1000 13324 0.007154
c 375 55 1000 13214 0.007615
c 375 28 1000 13433 0.008594
c 375 14 1000 13569 0.007956
c 375 110 10000 405 0.028447
c 375 55 10000 72 0.027461
c 375 28 10000 433 0.032396
c 375 14 10000 7 0.027407
c 375 110 10000 153 0.029901
c 375 55 10000 340 0.032064
c 375 28 10000 152 0.025748
c 375 14 10000 24 0.025655
c 375 110 10000 226 0.02934
c 375 55 10000 178 0.026026
c 375 28 10000 29 0.024342
c 375 14 10000 78 0.026151
c 375 110 10000 71 0.026708
c 375 55 10000 40 0.026106
c 375 28 10000 34 0.026362
c 375 14 10000 0 0.024723
c 375 110 100000 0 0.032395
c 375 55 100000 0 0.031583
c 375 28 100000 0 0.030924
c 375 14 100000 0 0.037639
c 375 110 100000 0 0.035558
c 375 55 100000 0 0.033901
c 375 28 100000 0 0.033293
c 375 14 100000 0 0.034375
c 375 110 100000 0 0.029688
c 375 55 100000 0 0.032933
c 375 28 100000 0 0.033841
c 375 14 100000 0 0.025445
c 375 110 100000 0 0.028476
c 375 55 100000 0 0.032874
c 375 28 100000 0 0.037209
c 375 14 100000 0 0.029904
c 375 165 1000 18175 0.009986
c 375 83 1000 17689 0.010298
c 375 42 1000 18377 0.011122
c 375 21 1000 17826 0.012664
c 375 165 1000 17018 0.009465
c 375 83 1000 16328 0.009874
c 375 42 1000 17500 0.011409
c 375 21 1000 15799 0.012379
c 375 165 1000 15951 0.009356
c 375 83 1000 16516 0.010308
c 375 42 1000 16681 0.010546
c 375 21 1000 16956 0.013291
c 375 165 1000 15765 0.009298
c 375 83 1000 14765 0.009727
c 375 42 1000 15380 0.010664
c 375 21 1000 15839 0.012258
c 375 165 10000 0 0.014117
c 375 83 10000 0 0.013074
c 375 42 10000 0 0.013471
c 375 21 10000 0 0.012441
c 375 165 10000 0 0.012087
c 375 83 10000 0 0.012386
c 375 42 10000 0 0.013561
c 375 21 10000 0 0.013465
c 375 165 10000 0 0.013243
c 375 83 10000 0 0.012818
c 375 42 10000 0 0.012994
c 375 21 10000 0 0.014609
c 375 165 10000 0 0.01179
c 375 83 10000 0 0.011979
c 375 42 10000 0 0.013037
c 375 21 10000 0 0.016335
c 375 165 100000 0 0.013506
c 375 83 100000 0 0.0135
c 375 42 100000 0 0.013615
c 375 21 100000 0 0.013617
c 375 165 100000 0 0.012681
c 375 83 100000 0 0.013212
c 375 42 100000 0 0.012138
c 375 21 100000 0 0.012651
c 375 165 100000 0 0.013847
c 375 83 100000 0 0.012249
c 375 42 100000 0 0.012063
c 375 21 100000 0 0.013007
c 375 165 100000 0 0.012286
c 375 83 100000 0 0.012782
c 375 42 100000 0 0.012304
c 375 21 100000 0 0.013321
c 500 98 1000 12417 0.004908
c 500 49 1000 12410 0.006964
c 500 25 1000 12661 0.008664
c 500 13 1000 13160 0.005733
c 500 98 1000 12380 0.006964
c 500 49 1000 12381 0.007145
c 500 25 1000 12634 0.008509
c 500 13 1000 13137 0.008571
c 500 98 1000 12411 0.006842
c 500 49 1000 12423 0.005313
c 500 25 1000 12693 0.006287
c 500 13 1000 13171 0.006035
c 500 98 1000 12389 0.005535
c 500 49 1000 12405 0.005407
c 500 25 1000 12629 0.006805
c 500 13 1000 13149 0.006346
c 500 98 10000 10672 0.046628
c 500 49 10000 10413 0.050502
c 500 25 10000 10640 0.059827
c 500 13 10000 11062 0.053885
c 500 98 10000 10615 0.048182
c 500 49 10000 10648 0.050842
c 500 25 10000 10790 0.060229
c 500 13 10000 11214 0.055059
c 500 98 10000 10626 0.047252
c 500 49 10000 10586 0.05116
c 500 25 10000 10909 0.060242
c 500 13 10000 11136 0.047004
c 500 98 10000 10629 0.047068
c 500 49 10000 10766 0.051405
c 500 25 10000 10801 0.058855
c 500 13 10000 11159 0.056817
c 500 98 100000 24 0.213045
