type size particles iterations skipped time num_process
c 400 32 100000 0 0.028854 512
c 400 16 100000 0 0.035421 1024
c 400 125 100000 0 0.033154 128
c 400 63 100000 0 0.037114 256
c 400 32 100000 0 0.02998 512
c 400 16 100000 0 0.02974 1024
c 400 188 1000 20583 0.010453 128
c 400 94 1000 20659 0.010097 256
c 400 47 1000 20211 0.011039 512
c 400 24 1000 20274 0.013021 1024
c 400 188 1000 17855 0.010152 128
c 400 94 1000 18611 0.010496 256
c 400 47 1000 19581 0.011077 512
c 400 24 1000 20354 0.01284 1024
c 400 188 1000 20469 0.010383 128
c 400 94 1000 19897 0.010524 256
c 400 47 1000 20152 0.010971 512
c 400 24 1000 21126 0.012831 1024
c 400 188 1000 18437 0.01077 128
c 400 94 1000 18648 0.01005 256
c 400 47 1000 19273 0.010868 512
c 400 24 1000 20100 0.013398 1024
c 400 188 10000 0 0.016371 128
c 400 94 10000 0 0.014929 256
c 400 47 10000 0 0.015101 512
c 400 24 10000 0 0.0148 1024
c 400 188 10000 0 0.014447 128
c 400 94 10000 0 0.012888 256
c 400 47 10000 0 0.014691 512
c 400 24 10000 0 0.013747 1024
c 400 188 10000 0 0.01488 128
c 400 94 10000 0 0.01514 256
c 400 47 10000 0 0.015305 512
c 400 24 10000 0 0.015404 1024
c 400 188 10000 0 0.013524 128
c 400 94 10000 0 0.014647 256
c 400 47 10000 0 0.014855 512
c 400 24 10000 0 0.014689 1024
c 400 188 100000 0 0.017306 128
c 400 94 100000 0 0.015797 256
c 400 47 100000 0 0.01465 512
c 400 24 100000 0 0.016534 1024
c 400 188 100000 0 0.014425 128
c 400 94 100000 0 0.013933 256
c 400 47 100000 0 0.014311 512
c 400 24 100000 0 0.015093 1024
c 400 188 100000 0 0.015515 128
c 400 94 100000 0 0.014447 256
c 400 47 100000 0 0.015735 512
c 400 24 100000 0 0.01474 1024
c 400 188 100000 0 0.014261 128
c 400 94 100000 0 0.014134 256
c 400 47 100000 0 0.014808 512
c 400 24 100000 0 0.014394 1024
c 600 141 1000 17883 0.008011 128
c 600 71 1000 17986 0.009432 256
c 600 36 1000 18244 0.007093 512
c 600 18 1000 18250 0.007284 1024
c 600 141 1000 17921 0.008068 128
