type size particles iterations skipped time num_process
m 400 16000 100000 1022 3.978318 6
m 400 16000 100000 729 6.084025 2
m 400 16000 100000 908 4.716212 4
m 400 16000 100000 876 4.223303 5
m 400 16000 100000 929 3.853909 6
m 400 16000 100000 741 6.015104 2
m 400 16000 100000 879 4.76628 4
m 400 16000 100000 913 4.198076 5
m 400 16000 100000 966 4.036335 6
m 400 24000 1000 23359 0.600103 2
m 400 24000 1000 23455 0.396793 4
m 400 24000 1000 23483 0.369331 5
m 400 24000 1000 23567 0.340026 6
m 400 24000 1000 23217 0.599058 2
m 400 24000 1000 23395 0.424228 4
m 400 24000 1000 23477 0.367085 5
m 400 24000 1000 23473 0.341053 6
m 400 24000 1000 23360 0.600282 2
m 400 24000 1000 23440 0.397366 4
m 400 24000 1000 23430 0.362283 5
m 400 24000 1000 23534 0.331213 6
m 400 24000 1000 23257 0.59784 2
m 400 24000 1000 23334 0.440878 4
m 400 24000 1000 23465 0.382565 5
m 400 24000 1000 23441 0.35176 6
m 400 24000 10000 14478 4.361214 2
m 400 24000 10000 16188 3.266129 4
m 400 24000 10000 16113 2.875238 5
m 400 24000 10000 15931 2.681621 6
m 400 24000 10000 13861 4.226149 2
m 400 24000 10000 14723 3.09803 4
m 400 24000 10000 14940 2.766979 5
m 400 24000 10000 15998 2.638534 6
m 400 24000 10000 14726 4.422586 2
m 400 24000 10000 15037 3.126978 4
m 400 24000 10000 15725 2.870081 5
m 400 24000 10000 15945 2.680438 6
m 400 24000 10000 14955 4.446295 2
m 400 24000 10000 15941 3.285859 4
m 400 24000 10000 15493 2.82188 5
m 400 24000 10000 15592 2.600575 6
m 400 24000 100000 753 6.173629 2
m 400 24000 100000 836 4.622414 4
m 400 24000 100000 905 4.3561 5
m 400 24000 100000 937 3.953898 6
m 400 24000 100000 757 6.308646 2
m 400 24000 100000 912 4.833622 4
m 400 24000 100000 914 4.304913 5
m 400 24000 100000 905 4.110624 6
m 400 24000 100000 729 6.214615 2
m 400 24000 100000 814 4.712311 4
m 400 24000 100000 900 4.308211 5
m 400 24000 100000 888 4.104595 6
m 400 24000 100000 741 6.138109 2
m 400 24000 100000 847 4.845796 4
m 400 24000 100000 893 4.32956 5
m 400 24000 100000 962 4.124795 6
m 600 18000 1000 17882 0.450047 2
m 600 18000 1000 17865 0.29717 4
m 600 18000 1000 17911 0.270898 5
